user_id,full_preference,final_persona
user_01,"“I prefer explanations, as a clinician, that provide a shortcut to the final inhibitor, allowing me to click to expand more details if I choose.”
“I prefer explanations that present a straight-line summary from gene → inhibitor → outcome, with a ‘+’ on nodes to reveal deeper context.”
“I prefer explanations that include phenotypes, transcriptomic data, and clinical metrics (e.g., IMDC score) alongside each gene to guide treatment decisions.”",Persona 1
user_02,"“I prefer explanations that avoid ambiguous regulation terms like ‘regulation of programmed…’ by clearly specifying whether a gene up-regulates or down-regulates a process and stating the mutant’s consistent effect.”
“I prefer explanations that avoid mid-path sibling relations like ‘subclass of’ and instead use direct gene→process links.”
“I prefer explanations that avoid zig-zagging on the same relation (e.g., A ← inhibited by ← B → inhibits → C) to preserve causal clarity.”
“I prefer explanations that include an explicit check confirming each intermediate gene genuinely connects to the MTOR inhibitor, so no step feels arbitrary.”
“I prefer explanations that include the mutation phenotype (e.g., consistent up- or down-regulation) so clinicians can judge whether an inhibitor or activator is appropriate.”
“I prefer explanations that rely on direct, validated knowledge-graph relations rather than indirect subclass inferences.”",Persona 1
user_03,"“I prefer explanations that are delivered as concise bullet points and clear, patient-level summaries.”",Persona 2
user_04,"“I prefer explanations delivered as concise bullet points with an embedded graph—clinicians can scan key points while researchers expand layers.”
“I prefer explanations that link additional inhibitors (e.g., MTOR inhibitor) even when they aren’t on the direct path, to provide useful context.”
“I prefer explanations that include patient-level statements like ‘This patient fits trial population X based on features A, B, C.’”",Persona 1
user_05,"“I prefer explanations for clinicians that focus only on biomarkers and outcomes rather than full mechanistic processes.”
“I prefer explanations that hide intermediate biological details when they don’t affect the clinical decision.”",Persona 2
user_06,"“I prefer explanations that block nodes to check their importance and select dominator nodes that appear most frequently.”
“I prefer explanations that substitute the drug node with another from the same family to see if the explanations share common nodes.”
“I prefer explanations that use repetition of the same meta-pattern as a robustness check—balanced against diversity of information.”
“I prefer explanations that add counterfactual options like ‘see more similar drugs’ and make the graph dynamic so users can click to change features.”
“I prefer explanations that present a connected graph with just a few key nodes, keep colors, and offer both diagram and text views.”",Persona 2
user_07,"“I prefer explanations that present an abstraction with minimal detail—showing only the most relevant nodes to keep it digestible.”
“I prefer explanations that highlight the single most important node in each path.”
“I prefer explanations that explicitly correlate each gene to its inhibitor.”",Persona 1
user_08,“I prefer explanations that vary in length—concise for clinicians and detailed for researchers.”,Persona 2
user_09,"“I prefer explanations that evaluate whether the tumor is ‘hot’ or ‘cold’ to inform immune-cell interactions.”
“I prefer explanations that track tumor progression and drug resistance over time to suggest alternative treatments or combinations.”
“I prefer explanations that always show combined treatment options, potentially with AI-driven combination recommendations.”",Persona 2
user_10,"“I prefer explanations that highlight clear, informative links—such as ‘dependence on opiates’—when they definitively identify the drug’s class.”
“I prefer explanations that include uniquely informative connections—like ‘dependence on opiates’—over vague or redundant links.”",Persona 2
