System	User	Explanation	Validity	Completeness	Relevance
1	Elena	1	3	3	3
1	Elena	2	3	3	3
1	Elena	3	2	3	2
1	Elena	4	2	3	2
1	Elena	5	3	3	2
1	Elena	6	2	3	2
1	Elena	7	3	3	2
1	Elena	8	3	3	2
1	Elena	9	3	3	2
1	Elena	10	3	3	3
1	Leo	1	4	3	3
1	Leo	2	4	3	3
1	Leo	3	3	3	2
1	Leo	4	3	3	2
1	Leo	5	4	3	3
1	Leo	6	3	3	2
1	Leo	7	4	3	3
1	Leo	8	4	3	3
1	Leo	9	4	3	3
1	Leo	10	4	3	4
2	Elena	1	3	3	3
2	Elena	2	3	3	3
2	Elena	3	2	3	2
2	Elena	4	2	3	2
2	Elena	5	3	3	2
2	Elena	6	2	3	2
2	Elena	7	3	3	2
2	Elena	8	4	3	3
2	Elena	9	3	3	2
2	Elena	10	2	3	2
2	Leo	1	4	3	3
2	Leo	2	4	3	3
2	Leo	3	3	3	2
2	Leo	4	3	3	2
2	Leo	5	4	3	3
2	Leo	6	3	3	2
2	Leo	7	4	3	3
2	Leo	8	3	3	2
2	Leo	9	4	3	3
2	Leo	10	3	3	2
3	Elena	1	3	3	3
3	Elena	2	2	3	2
3	Elena	3	3	5	3
3	Elena	4	3	5	3
3	Elena	5	4	5	4
3	Elena	6	3	5	3
3	Elena	7	2	3	3
3	Elena	8	3	3	3
3	Elena	9	4	5	3
3	Elena	10	3	3	3
3	Leo	1	4	5	4
3	Leo	2	4	5	4
3	Leo	3	4	3	3
3	Leo	4	4	5	4
3	Leo	5	5	5	4
3	Leo	6	4	3	3
3	Leo	7	5	5	4
3	Leo	8	4	3	4
3	Leo	9	4	5	4
3	Leo	10	4	3	4
4	Elena	1	3	3	3
4	Elena	2	3	3	3
4	Elena	3	3	5	3
4	Elena	4	4	5	4
4	Elena	5	4	3	4
4	Elena	6	4	5	4
4	Elena	7	2	3	3
4	Elena	8	4	5	4
4	Elena	9	4	5	4
4	Elena	10	3	5	4
4	Leo	1	4	3	4
4	Leo	2	5	5	5
4	Leo	3	4	5	4
4	Leo	4	4	5	5
4	Leo	5	5	5	5
4	Leo	6	5	5	4
4	Leo	7	5	5	5
4	Leo	8	5	5	5
4	Leo	9	5	5	5
4	Leo	10	5	5	5
