ID	Explanation Type	Justification
jaG0bJE	The textual description helped me more.	Text worked better when the model was complex, when precise relationships mattered, or when sequential logic and nuances needed to be further explained. 
RG8jBkK	I used both types together.	I generally used Graph explanations as a starting point and the text explanation to guide me throught it.
It was particularly confusing when one explanation presented information that the other lacked.
GxY7xlz	The textual description helped me more.	I prefer to read the text first to understand the various interactions, and only after reading the text, to solidify the information, I look at the graph.
7R4P2W2	I used both types together.	I use both depending on what I want: if I want to have a general view of the process and get familiar with the main players I use the graph. For more in depth understanding I read the text to understand the relationship between the playes.
1AG5kRg	The textual description helped me more.	Although the schematic representation can be useful for organizing ideas, I relied more on the supporting text, which I consider to be more useful. I prefer to create the schematic representation myself, based on my own interpretation of the text.
VLoAdx6	I used both types together.	I used both graph and textual explanations to understand the prediction. I don't think its mandatory to understand the logic, but it helps and provides relevant information. However, sometimes I liked the textual explanation more than the graph, or the other way around (indicated in comments). 
OD8erxa	I used both types together.	Both explanations are useful, I tend to start with the graph and then follow up with the text to get a better understanding of the argument. Sometimes the text is helpful, some times the text is just more confusing.
rj2RGXo	I used both types together.	I believe that the best way to analyze the explanations is to look at them with the associated knowledge graph. In several situations, considering my limited knowledge of compounds, the knowledge graph was important to better understand the explanations.
rj2zk8L	It depends on the hypothesis.	Some of the explanations had confusing graphs that would make the explanation less appealing, and then they would be ruled out if the textual part was overwhelming with information. If both graph explanations seemed understandable, I would put more focus on the texts.
aQKNQzy	I used both types together.	I used both types together because the graph explanation provided a clear visual representation of the relationships among compounds, categories, and therapeutic targets, while the textual explanation added important context and detail to interpret those connections. Combining both made the explanation more comprehensive and easier to evaluate.
aQKN9NB	I used both types together.	I tried analyzing both to assess the scores. Personally, I prefer to analyze the graph and then read the text. Ideally, the graph should be simple (not so complex that it "scares" the reader) to provide a high-level understanding, followed by a written explanation with more in-depth analysis.
PdvD761	I used both types together.	The visual graph provided a good visual aid. However,  the complexity can scale very quickly, and for a user not used to graph visualizations textual because fundamental in these cases.
However in every case the text provided a great way to ether complement or introduce the analysis.
J9828VY	The graph representation helped me more.	Text is often confusing and repetitive. Adds very little information to the visualization, and often links entities that are not linked in the graph, making it seem that one of the two is incorrect. Colours are very helpful in distinguishing the different types of entities. Paths in the graph are helpful to establish some sort of timeline or sequence, whereas the text often skips around making it harder to organize information. For text to be more helpful, it would have to fetch additional information to complement the classes shown in the graph, such as definitions or examples.
gDWkZrM	The textual description helped me more.	The graphs are more difficult to interpret for those who are not familiar with the material, whereas the written language is more natural and easier to follow. Also, the written content often contained useful information that was not presented in the graphs
aQZvLXb	The textual description helped me more.	I found it difficult to take conclusion from some of the graphs shown in this questionary. Most of the times, I used them only to complement the info present in the textual explanations.
Ek8EQlo	I used both types together.	When the textual explanation wasn't clear enough I resorted to the graph to understand if it was valid or relevant. I used only the textual explanation to rate completeness.
81jgkVP	The textual description helped me more.	The graphics are too small
b5NEv6Z	I used both types together.	Sometimes de graph was a bit confusing or too intricate, and the text helped understand the connections better, and vice versa, when the text was more confusing, the graph helped organize and get a more visual and direct idea.
44PDZqb	I used both types together.	I used both explanation types so that the visual cues of the graph can support the text, However I found the graph more helpful to have a broader view of the system and the text to enter into details.
lbVE05k	The graph representation helped me more.	i prefer visual explanation. i helps me understand better the connection between the dots
OD8R9R7	I used both types together.	I looked at the graph explanation first, as it is more concise and easier to grasp, but used the textual explanation to complement it, as added depth to the explanation in a few cases.
oblXKeO	The textual description helped me more.	It's the model I tend to be presented with more often which makes it easier to approach and comprehend. While the graph explanation makes for a good overview and was very helpful at times, I tended to extract information better from textual explanation.
