user_id,kmeans_cluster,hierarchical_cluster,hdbscan_cluster,final_persona,preference_snippet
user_01,0,1,0,Persona 1,"“I prefer explanations, as a clinician, that provide a shortcut to the final inhibitor, allowing me ..."
user_02,0,1,0,Persona 1,“I prefer explanations that avoid ambiguous regulation terms like ‘regulation of programmed…’ by cle...
user_03,1,0,-1,Persona 2,"“I prefer explanations that are delivered as concise bullet points and clear, patient-level summarie..."
user_04,0,1,0,Persona 1,“I prefer explanations delivered as concise bullet points with an embedded graph—clinicians can scan...
user_05,1,0,0,Persona 2,“I prefer explanations for clinicians that focus only on biomarkers and outcomes rather than full me...
user_06,1,0,0,Persona 2,“I prefer explanations that block nodes to check their importance and select dominator nodes that ap...
user_07,0,1,0,Persona 1,“I prefer explanations that present an abstraction with minimal detail—showing only the most relevan...
user_08,1,0,1,Persona 2,“I prefer explanations that vary in length—concise for clinicians and detailed for researchers.”
user_09,1,0,-1,Persona 2,“I prefer explanations that evaluate whether the tumor is ‘hot’ or ‘cold’ to inform immune-cell inte...
user_10,1,0,-1,Persona 2,"“I prefer explanations that highlight clear, informative links—such as ‘dependence on opiates’—when ..."
user_11,0,1,0,Persona 1,"“I prefer explanations that provide clearer mechanistic context, recognizing that most users lack a ..."
user_12,0,1,0,Persona 1,"“I prefer explanations that indicate how many gene mutations are active in a patient, not just the t..."
user_13,1,0,1,Persona 2,"“I prefer explanations that offer shorter, patient-friendly path summaries to improve understanding...."
user_14,0,1,0,Persona 1,“I prefer explanations that avoid placing ‘up’/‘down’ annotations in the middle of paths and instead...
user_15,0,1,0,Persona 1,“I prefer explanations that are simplified and avoid unclear descriptions that obscure the biologica...
user_16,0,1,0,Persona 1,“I prefer explanations that avoid convoluted paths like Gene → Process → Process → Gene and instead ...
user_17,0,1,0,Persona 1,“I prefer explanations that provide sufficient bio-background support alongside graphical visualizat...
user_18,0,1,0,Persona 1,"“I prefer explanations that include molecular function annotations for greater informativeness.”
“I ..."
user_19,1,1,0,Persona 2,“I prefer explanations that avoid technical jargon like ‘inhibitor’ for non-technical users and use ...
user_20,0,1,0,Persona 1,"“I prefer explanations that merge regulation processes into a single, clear reasoning path rather th..."
user_21,1,0,1,Persona 2,“I prefer explanations that include an explicit AI-generated justification element with each summary...
user_22,1,0,-1,Persona 2,"“I prefer explanations that are simple and not overly complex overall.”
“I prefer explanations that ..."
