ID;Task;Age;Background;Preference
user_01;Drug Recommendation;35-49;"Clinician
Researcher 
";"“I prefer explanations, as a clinician, that provide a shortcut to the final inhibitor, allowing me to click to expand more details if I choose.”
“I prefer explanations that present a straight-line summary from gene → inhibitor → outcome, with a ‘+’ on nodes to reveal deeper context.”
“I prefer explanations that include phenotypes, transcriptomic data, and clinical metrics (e.g., IMDC score) alongside each gene to guide treatment decisions.”"
user_02;Drug Recommendation;35-49;"Computer Science
Knowledge Engineering
Bioinformatics";"“I prefer explanations that avoid ambiguous biological regulation terms like ‘regulation of programmed…’ by clearly specifying whether a gene up-regulates or down-regulates a process and stating the mutant’s consistent effect.”
“I prefer explanations that avoid mid-path sibling relations like ‘subclass of’ and instead use direct gene→process links.”
“I prefer explanations that avoid zig-zagging on the same relation (e.g., A ← inhibited by ← B → inhibits → C) to preserve causal clarity.”
“I prefer explanations that include an explicit check confirming each intermediate gene genuinely connects to the MTOR inhibitor, so no step feels arbitrary.”
“I prefer explanations that include the mutation phenotype (e.g., consistent up- or down-regulation) so clinicians can judge whether an inhibitor or activator is appropriate.”
“I prefer explanations that rely on direct, validated knowledge-graph relations rather than indirect subclass inferences.”"
user_03;Drug Recommendation;25-34;"Biomedical Engineer
Clinical DM";“I prefer explanations that are delivered as concise bullet points and clear, patient-level summaries.”
user_04;Drug Recommendation;35-49;"Biochemistry 
Bioinformatics
Computer Science";"“I prefer explanations delivered as concise bullet points with an embedded graph—clinicians can scan key points while researchers expand layers.”
“I prefer explanations that link additional inhibitors (e.g., MTOR inhibitor) even when they aren’t on the direct path, to provide useful context.”
“I prefer explanations that include patient-level statements like ‘This patient fits trial population X based on features A, B, C.’”"
user_05;Drug Recommendation;50-65;"Biology 
Genetics";"“I prefer explanations for clinicians that focus only on biomarkers and outcomes rather than full mechanistic processes.”
“I prefer explanations that hide intermediate biological details when they don’t affect the clinical decision.”"
user_06;Drug Recommendation;35-49;Computer Sciences;"“I prefer explanations that block nodes to check their importance and select dominator nodes that appear most frequently.”
“I prefer explanations that substitute the drug node with another from the same family to see if the explanations share common nodes.”
“I prefer explanations that use repetition of the same meta-pattern as a robustness check—balanced against diversity of information.”
“I prefer explanations that add counterfactual options like ‘see more similar drugs’ and make the graph dynamic so users can click to change features.”
“I prefer explanations that present a connected graph with just a few key nodes, keep colors, and offer both diagram and text views.”"
user_07;Drug Recommendation;35-49;"Biotechnology PhD; NGS Analysis";"“I prefer explanations that present an abstraction with minimal detail—showing only the most relevant nodes to keep it digestible.”
“I prefer explanations that highlight the single most important node in each path.”
“I prefer explanations that explicitly correlate each gene to its inhibitor.”"
user_08;Drug Recommendation;25-34;"Biochemistry; Computer Science";“I prefer explanations that vary in length—concise for clinicians and detailed for researchers.”
user_09;Drug Recommendation;65-74;Biologist;"“I prefer explanations that evaluate whether the tumor is ‘hot’ or ‘cold’ to inform immune-cell interactions.”
“I prefer explanations that track tumor progression and drug resistance over time to suggest alternative treatments or combinations.”
“I prefer explanations that always show combined treatment options, potentially with AI-driven combination recommendations.”"
user_10;Drug Recommendation;35-49;"Bioinformatics; Tumor biology; RCC";"“I prefer explanations that highlight clear, informative links—such as ‘dependence on opiates’—when they definitively identify the drug’s class.”
“I prefer explanations that include uniquely informative connections—like ‘dependence on opiates’—over vague or redundant links.”"
user_11;Drug Recommendation;35-49;Biochemistry;"“I prefer explanations that provide clearer mechanistic context, recognizing that most users lack a life-sciences background.”
“I prefer explanations that indicate whether each gene is up-regulated or down-regulated.”
“I prefer explanations that show multiple distinct gene paths converging on the same drug so users can identify common points.”"
user_12;Drug Recommendation;50-65;AI;"“I prefer explanations that indicate how many gene mutations are active in a patient, not just the top one.”
“I prefer explanations that are as short and concise as possible.”
“I prefer explanations that include the chemical formulas of the proteins generated to compare inhibitor/inhibited similarities.”
“I prefer explanations that merge rank and value to accumulate per-node scores, reducing overall size.”"
user_13;Drug Recommendation;20-24;Physics+Data Science;"“I prefer explanations that offer shorter, patient-friendly path summaries to improve understanding.”
“I prefer explanations that convert complex paths into natural-language summaries to avoid overwhelming patients.”
“I prefer explanations that use an LLM to translate and define each node, boosting clarity.”"
user_14;Drug Recommendation;50-65;Biochemistry;"“I prefer explanations that avoid placing ‘up’/‘down’ annotations in the middle of paths and instead clearly annotate regulation direction where it matters.”
“I prefer explanations that hide intermediate biology by default—revealing it on demand—so clinicians see only the gene→drug connection strength up front.”
“I prefer explanations that use ‘inhibits’ or ‘regulates’ links rather than generic predicates like ‘subclass of’ or ‘has participant in.’”
“I prefer explanations that include a combined score of all gene–drug connections, since both patients and clinicians need that aggregate metric for therapy predictions.”"
user_15;Drug Recommendation;25-34;"Molecular Biology 
Pharmacology";"“I prefer explanations that are simplified and avoid unclear descriptions that obscure the biological context.”
“I prefer explanations that include cellular protein localization to contextualize isoforms.”
“I prefer explanations that combine textual and graph-based visualizations to serve clinicians and researchers without overwhelming patients.”
“I prefer explanations that ensure specific information is always clear and complete.”
“I prefer explanations that avoid excessive detail that prevents moving from specific to general classes in one direction.”
“I prefer explanations that use precise class relations rather than overly general ones.”
“I prefer explanations that only include super-to-subclass hierarchies when they maintain correct directional flow.”
“I prefer explanations that penalize paths assuming genes are similar and would be inhibited similarly.”
“I prefer explanations that include additional superclass context when it adds value, even if the path is longer.”"
user_16;Drug Recommendation;20-24;Computer Sciences;"“I prefer explanations that avoid convoluted paths like Gene → Process → Process → Gene and instead choose simpler, more intuitive routes.”
“I prefer explanations that avoid vague relations such as ‘acts upstream or within’ and use precise, descriptive links.”
“I prefer explanations that do not rely on analogies to similar genes—which can mislead patients—and instead provide direct evidence of mechanism.”
“I prefer explanations that avoid technical GO class labels like ‘subclass of’ when addressing general audiences.”"
user_17;Drug Recommendation;25-34;Legal;"“I prefer explanations that provide sufficient bio-background support alongside graphical visualizations for patient comprehension.”
“I prefer explanations that include an extra textual description of the graphical visualization.”
“I prefer explanations that use specific terminology to increase clarity over more generic phrasing.”
“I prefer explanations that clearly define each gene’s type and its relation between specific subtype and drug.”
“I prefer explanations that avoid vague predicates like ‘acts upstream of or within’ and instead use precise regulatory descriptions.”"
